obj,rel,sbj
13,3,31
21,3,77
16,3,27
63,3,99
9,3,26
42,3,78
47,3,92
5,3,95
40,3,44
5,3,84
7,3,77
21,3,90
68,3,98
46,3,65
19,3,27
22,3,32
6,3,47
11,3,57
16,3,79
17,3,53
20,3,101
2,3,57
78,3,94
62,3,63
13,3,74
4,3,102
50,3,55
11,3,101
1,3,52
15,3,37
5,3,97
13,3,62
5,3,87
67,3,77
27,3,49
45,3,96
64,3,100
0,3,66
51,3,85
16,3,77
28,3,31
11,3,69
33,3,49
37,3,94
12,3,78
33,3,94
5,3,14
33,3,67
15,3,98
30,3,57
51,3,75
20,3,41
51,3,62
0,3,103
4,3,85
40,3,46
9,3,28
4,3,97
66,3,77
97,3,99
22,3,94
32,3,66
81,3,91
18,3,65
79,3,98
4,3,84
67,3,100
38,3,95
7,3,52
36,3,48
6,3,91
56,3,88
37,3,83
15,3,21
39,3,80
24,3,89
35,3,100
24,3,96
0,3,83
35,3,88
84,3,85
69,3,97
24,3,98
78,3,90
23,3,44
46,3,62
74,3,75
30,3,38
29,3,98
43,3,85
78,3,96
27,3,50
49,3,79
57,3,95
48,3,88
53,3,56
32,3,42
15,3,45
24,3,67
7,3,66
7,3,64
38,3,101
18,3,101
33,3,42
38,3,99
20,3,25
12,3,68
49,3,90
32,3,49
3,3,42
12,3,64
47,3,86
18,3,41
22,3,27
34,3,95
6,3,82
10,3,75
43,3,57
45,3,77
33,3,77
30,3,43
9,3,19
20,3,28
68,3,88
66,3,96
20,3,31
43,3,80
51,3,102
2,3,13
54,3,84
49,3,68
30,3,95
6,3,86
30,3,84
3,3,98
29,3,32
18,3,58
40,3,65
32,3,36
65,3,95
41,3,61
56,3,93
10,3,11
60,3,101
70,3,77
15,3,68
23,3,26
38,3,84
63,3,84
70,3,79
69,3,95
9,3,31
81,3,86
15,3,36
38,3,63
57,3,62
1,3,66
2,3,84
15,3,100
15,3,96
48,3,82
78,3,100
24,3,35
53,3,64
12,3,16
7,3,37
16,3,22
5,3,43
59,3,64
49,3,98
81,3,92
10,3,51
60,3,63
5,3,69
88,3,92
51,3,61
15,3,67
66,3,67
62,3,99
96,3,98
11,3,75
37,3,100
3,3,35
29,3,100
26,3,44
57,3,102
95,3,97
57,3,61
39,3,65
23,3,50
11,3,40
3,3,24
18,3,26
64,3,77
18,3,25
64,3,68
14,3,99
14,3,60
34,3,80
