obj,rel,sbj
47,0,2
42,0,30
53,1,1
44,0,27
44,0,26
66,0,5
39,0,6
80,1,10
66,0,26
59,0,1
35,1,1
44,0,28
42,0,2
42,0,6
43,0,11
59,0,2
42,0,31
44,0,13
45,0,23
66,0,21
50,1,1
34,1,7
42,0,28
61,1,1
21,3,16
30,3,25
23,3,15
20,3,16
19,3,15
10,3,8
20,3,0
24,3,20
24,3,16
11,3,2
30,3,24
17,3,16
29,3,24
21,3,0
18,3,16
20,3,18
27,3,26
30,3,29
27,3,23
15,3,7
30,3,16
21,3,17
29,3,25
26,3,19
17,3,0
21,3,20
19,3,7
30,3,21
30,3,20
18,3,0
26,3,23
18,3,17
27,3,7
21,3,18
13,3,1
25,3,24
20,3,17
72,2,54
60,2,48
54,2,38
51,2,35
60,2,46
39,2,35
77,2,60
72,2,35
74,2,35
74,2,38
52,2,43
57,2,35
46,2,44
51,2,44
77,2,72
52,2,39
77,2,34
38,2,35
77,2,44
72,2,60
74,2,51
39,2,38
52,2,37
76,2,34
72,2,38
74,2,54
46,2,38
77,2,48
68,2,50
76,2,54
54,2,48
57,2,46
72,2,51
54,2,44
41,2,37
70,2,64
80,2,52
37,2,36
72,2,39
44,2,39
75,2,67
60,2,51
44,2,34
60,2,38
77,2,43
74,2,57
76,2,74
77,2,71
48,2,38
81,2,71
76,2,44
81,2,77
52,2,38
80,2,38
74,2,60
57,2,39
72,2,48
60,2,54
51,2,43
72,2,46
77,2,35
70,2,37
61,2,40
76,2,39
44,2,43
77,2,76
77,2,56
51,2,38
60,2,35
60,2,39
43,2,39
70,2,34
46,2,39
51,2,48
71,2,34
76,2,60
48,2,35
76,2,72
54,2,43
64,2,45
71,2,44
48,2,39
46,2,35
76,2,58
52,2,35
60,2,43
51,2,39
74,2,72
72,2,44
39,2,37
81,2,72
54,2,35
67,2,37
71,2,35
74,2,37
80,2,67
76,2,43
72,2,43
71,2,38
78,2,73
74,2,48
73,2,45
76,2,35
80,2,37
41,2,39
71,2,56
43,2,35
67,2,52
46,2,43
54,2,51
74,2,46
74,2,39
74,2,43
54,2,39
77,2,74
76,2,46
48,2,43
77,2,41
77,2,46
76,2,48
74,2,52
80,2,39
60,2,37
43,2,38
48,2,46
44,2,35
77,2,39
76,2,51
77,2,38
58,2,36
77,2,54
76,2,37
